Accession	log2FC	t.ord	t.mod	p.ord	p.mod	q.ord	q.mod	sig	comparison	Description	Biological Process	Cellular Component	Molecular Function	Pfam IDs	Entrez Gene ID	Ensembl Gene ID	Gene Symbol	Chromosome	KEGG Pathways
Q8MSB1	0.275625736099956	2.58052731899822	2.54847339663757	0.0417398555253312	0.0145053371683124	0.11523072437547	0.0464989691851256	NO	Egg_WT - Oocyte_WT	CG31357 OS=Drosophila melanogaster GN=CG13638 PE=1 SV=1	metabolic process;regulation of biological process	cytoplasm;nucleus	catalytic activity;protein binding	Pf10607	326135	FBgn0051357	CG31357	3R	
Q8MSC4	0.251249623277612	3.09936812730028	2.3937735661606	0.021133509513409	0.0211489448218998	0.0876911589393644	0.0601994080772111	NO	Egg_WT - Oocyte_WT	CG3509 protein OS=Drosophila melanogaster GN=BigH1 PE=1 SV=1	cell organization and biogenesis;regulation of biological process	chromosome;nucleus	DNA binding	Pf00538	41780	FBgn0038252	CG3509; BigH1	3R	
Q8MSS1	0.133318531808058	1.65819794825941	1.27106057405432	0.148350930106727	0.210597574951059	0.195473220169116	0.236951331373438	NO	Egg_WT - Oocyte_WT	Protein lava lamp OS=Drosophila melanogaster GN=lva PE=1 SV=2	cell organization and biogenesis;development;metabolic process;regulation of biological process	Golgi;vacuole	protein binding	Pf04111, Pf09726	31350	FBgn0029688	lva	X	
Q8MSS7	0.480081982661133	4.59158024341458	4.45167221690744	0.00372484186292932	6.03481598802037e-05	0.0407448638955913	0.000720784690508455	YES	Egg_WT - Oocyte_WT	CG2937-PA OS=Drosophila melanogaster GN=mRpS2 PE=1 SV=1	cell organization and biogenesis;metabolic process	ribosome	structural molecule activity	Pf00318	33688	FBgn0031639	mRpS2	2L	Ribosome
Q8MST5	-0.931983441667082	-8.48374122357768	-8.58324934309861	0.000146691503036274	7.70434483570545e-11	0.00665578520496922	4.18686184905065e-09	YES	Egg_WT - Oocyte_WT	Beta-Tubulin at 97EF, isoform B OS=Drosophila melanogaster GN=betaTub97EF PE=1 SV=1	cell organization and biogenesis	cytoplasm;cytoskeleton	catalytic activity;nucleotide binding;structural molecule activity	Pf00091, Pf03953, Pf10644	43359	FBgn0003890	betaTub97EF	3R	Phagosome
Q8MSU4	0.183471831989682	1.89884628077382	1.717955195909	0.106339795820363	0.0930596861871932	0.167478795317283	0.148871780092616	NO	Egg_WT - Oocyte_WT	Symplekin OS=Drosophila melanogaster GN=Sym PE=1 SV=1	metabolic process	nucleus	protein binding;RNA binding	Pf11935, Pf12295	40709	FBgn0037371	Sym	3R	mRNA surveillance pathway
Q8MSV2	0.0408297837717218	0.309858148398744	0.364681861294973	0.767148594918288	0.717151381581844	0.461497564638729	0.465349167983178	NO	Egg_WT - Oocyte_WT	Protein alan shepard OS=Drosophila melanogaster GN=shep PE=1 SV=2	response to stimulus	cytosol	RNA binding	Pf00076, Pf13893, Pf14259	38605	FBgn0052423	shep	3L	
Q8MSW0	0.045384717331018	0.59395276961221	0.434439559166648	0.57423874966776	0.666159901743243	0.390719084161974	0.450132464262416	NO	Egg_WT - Oocyte_WT	Isoleucyl-tRNA synthetase, isoform A OS=Drosophila melanogaster GN=Aats-ile PE=1 SV=1	metabolic process;regulation of biological process	cytoplasm	catalytic activity;nucleotide binding;RNA binding	Pf00133, Pf08264, Pf09334	45785	FBgn0027086	Aats-ile; IleRS	3L	Aminoacyl-tRNA biosynthesis
Q8MSW9	0.0306691480535406	0.344687326285743	0.289720746847014	0.742090237741601	0.773434065373011	0.453542700490723	0.486653348767551	NO	Egg_WT - Oocyte_WT	LD17611p OS=Drosophila melanogaster GN=U3-55K PE=1 SV=1	metabolic process		protein binding;RNA binding	Pf00400	3346176	FBgn0053505	U3-55K	2R	
Q8MSX2	0.0578841660942686	0.488264090417862	0.526885204005054	0.642692846834416	0.601003825349836	0.416064444784884	0.425135709592961	NO	Egg_WT - Oocyte_WT	Mediator of RNA polymerase II transcription subunit 6 OS=Drosophila melanogaster GN=MED6 PE=1 SV=1	cell communication;cell organization and biogenesis;defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	protein binding	Pf04934	44728	FBgn0024330	MED6	3R	
Q8MSY4	-0.0019567175594517	-0.0231179527746436	-0.0185724218192587	0.98230584241514	0.985268837896245	0.523309649287513	0.545351521167717	NO	Egg_WT - Oocyte_WT	Vacuolar protein sorting-associated protein 51 homolog OS=Drosophila melanogaster GN=Vps51 PE=2 SV=1	cell organization and biogenesis;transport	cytosol		Pf04100, Pf06148, Pf08700, Pf10475, Pf15469	37156	FBgn0034380	CG15087; Vps51	2R	
Q8MT18	0.139774263654322	1.97254072833094	1.34507982292755	0.0960114893683341	0.18571006937605	0.160617950874471	0.219994737931245	NO	Egg_WT - Oocyte_WT	CG5028, isoform A OS=Drosophila melanogaster GN=CG5028 PE=1 SV=1	metabolic process	mitochondrion	catalytic activity	Pf00180	43102	FBgn0039358	CG5028	3R	Biosynthesis of amino acids; 2-Oxocarboxylic acid metabolism; Metabolic pathways; Carbon metabolism; Citrate cycle (TCA cycle)
Q8MT36	0.367149257866249	2.58030675070179	3.22747920661447	0.0417522336257077	0.00240295858991511	0.11523072437547	0.0125866773450548	NO	Egg_WT - Oocyte_WT	Probable histone-lysine N-methyltransferase Mes-4 OS=Drosophila melanogaster GN=Mes-4 PE=1 SV=2	cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;nucleus	catalytic activity;DNA binding;metal ion binding;protein binding	Pf00628, Pf00855, Pf00856	43351	FBgn0039559	Mes-4; NSD	3R	Lysine degradation
Q8MT58	0.0698873503619488	0.911844009611433	0.668834444539824	0.397006896387212	0.507206174632134	0.321220158058803	0.385445627168173	NO	Egg_WT - Oocyte_WT	CG17337, isoform A OS=Drosophila melanogaster GN=CG17337 PE=1 SV=1	metabolic process	extracellular	catalytic activity	Pf01546, Pf07687	35507	FBgn0259979	CG17337	2R	
Q8MV48	0.177494621818738	1.92957687948064	1.67102560007886	0.101903972066336	0.102041467425249	0.164841766828074	0.157538588502007	NO	Egg_WT - Oocyte_WT	N-acetylgalactosaminyltransferase 7 OS=Drosophila melanogaster GN=GalNAc-T2 PE=2 SV=2	metabolic process	Golgi;membrane	catalytic activity;metal ion binding	Pf00535, Pf00652, Pf02709, Pf10111, Pf13641	32836	FBgn0030930	GalNAc-T2	X	Mucin type O-glycan biosynthesis; Metabolic pathways
Q8MVS5	-0.0189826561876085	-0.165776235536245	-0.173744864823083	0.873777926719847	0.862888209753575	0.493131559611541	0.513788975170384	NO	Egg_WT - Oocyte_WT	Polypeptide N-acetylgalactosaminyltransferase 35A OS=Drosophila melanogaster GN=Pgant35A PE=1 SV=2	metabolic process	Golgi;membrane	catalytic activity;metal ion binding	Pf00535, Pf00652, Pf02709, Pf10111	48775	FBgn0001970	Pgant35A	2L	Metabolic pathways; Mucin type O-glycan biosynthesis
Q8MYL1	0.156104773093325	1.76712483257928	1.47571660627886	0.127630794362551	0.14736682270927	0.18220499172487	0.193676587409188	NO	Egg_WT - Oocyte_WT	Fancd2 OS=Drosophila melanogaster GN=Fancd2 PE=1 SV=1	metabolic process;regulation of biological process;response to stimulus	chromosome;nucleus	protein binding	Pf14631	2768674	FBgn0038827	Fancd2	3R	Fanconi anemia pathway
Q8MYW9	0.182387567844936	1.46036151364736	1.6454251589448	0.194488699098375	0.107234987936748	0.220972071145185	0.162201184573305	NO	Egg_WT - Oocyte_WT	O-acyltransferase OS=Drosophila melanogaster GN=CG8112 PE=1 SV=1	metabolic process	endoplasmic reticulum;membrane	catalytic activity	Pf03062	41033	FBgn0037612	CG8112	3R	
Q8MYY7	-0.113756042595176	-0.462741169194297	-0.83420135333431	0.659856885687856	0.408816737078685	0.42304364696198	0.341796986231917	NO	Egg_WT - Oocyte_WT	CG31715-PA OS=Drosophila melanogaster GN=CG31715 PE=1 SV=1			protein binding	Pf00023, Pf12796, Pf13606, Pf13637, Pf13857	318909	FBgn0051715	CG31715	2L	
Q8MZ22	0.227143615907263	3.33646232269879	2.19137858178189	0.0156803922414314	0.0339366589003469	0.0766445393610877	0.0822412210363483	NO	Egg_WT - Oocyte_WT	CG32243-PA OS=Drosophila melanogaster GN=CG32243 PE=1 SV=1	response to stimulus				317935	FBgn0052243	CG32243	3L	
Q8MZI3	0.194147555482095	1.32190134272127	1.69452267504405	0.234362122339838	0.0974588047621651	0.240603651891228	0.153072755508557	NO	Egg_WT - Oocyte_WT	CG10077, isoform D OS=Drosophila melanogaster GN=CG10077 PE=1 SV=1	metabolic process;regulation of biological process	cytoplasm	catalytic activity;nucleotide binding;protein binding	Pf00270, Pf00271	38756	FBgn0035720	CG10077	3L	Spliceosome
Q8STA5	0.225680002001338	2.80632692824482	2.15159476080928	0.0309052890582464	0.0371374075759711	0.103889134335962	0.0863512705911572	NO	Egg_WT - Oocyte_WT	CG2862, isoform C OS=Drosophila melanogaster GN=CG2862 PE=1 SV=1			catalytic activity	Pf01230, Pf11969	33471	FBgn0031459	CG2862	2L	
Q8STG9	-0.0295987658457602	-0.173810034831686	-0.248628304999522	0.867730659718684	0.804841934121088	0.492004440222247	0.496296029049633	NO	Egg_WT - Oocyte_WT	DSec61alpha OS=Drosophila melanogaster GN=Sec61alpha PE=1 SV=1	cell organization and biogenesis;regulation of biological process;response to stimulus;transport	endoplasmic reticulum;membrane		Pf00344, Pf10559	33905	FBgn0086357	Sec61alpha	2L	Protein processing in endoplasmic reticulum; Protein export; Phagosome
Q8SWR8	-0.0156370779330945	-0.173929155468174	-0.14756427925161	0.867641066879707	0.883382212609461	0.492004440222247	0.51869064746778	NO	Egg_WT - Oocyte_WT	Ataxin-2 homolog OS=Drosophila melanogaster GN=Atx2 PE=1 SV=1	cell differentiation;cell organization and biogenesis;development;regulation of biological process;response to stimulus;transport	cytoplasm	protein binding;RNA binding	Pf06741, Pf14438	41883	FBgn0041188	Atx2	3R	
Q8SWT2	0.105189025846062	0.80644675530934	0.941373304663919	0.450758726165508	0.351816519270513	0.341983949602589	0.317594267088662	NO	Egg_WT - Oocyte_WT	CG9323, isoform A OS=Drosophila melanogaster GN=CG9323 PE=1 SV=1	metabolic process	cytoplasm	catalytic activity;nucleotide binding;RNA binding	Pf00270, Pf00271, Pf04408, Pf07717	35339	FBgn0032883	CG9323	2L	RNA degradation
Q8SWU7	-0.031890224707352	-0.420238724213652	-0.305422785831541	0.688945238404945	0.761530220700741	0.432492553466815	0.481859681046647	NO	Egg_WT - Oocyte_WT	Obg-like ATPase 1 OS=Drosophila melanogaster GN=CG1354 PE=1 SV=1		cytoplasm	catalytic activity;metal ion binding;nucleotide binding	Pf01926, Pf02421, Pf03308, Pf06071	31914	FBgn0030151	CG1354	X	
Q8SWX6	-0.209942886690198	-1.73341802695187	-1.9041765777002	0.133721640486183	0.0636489177391502	0.18668639715324	0.119576665998056	NO	Egg_WT - Oocyte_WT	CG11790, isoform A OS=Drosophila melanogaster GN=CG11790 PE=1 SV=1	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	endoplasmic reticulum;membrane	catalytic activity	Pf00085, Pf13848	42999	FBgn0039265	CG11790	3R	
Q8SX32	0.140946201201405	1.6249733363235	1.33477100155438	0.155293728086375	0.189034880650573	0.200074192470213	0.222686198976327	NO	Egg_WT - Oocyte_WT	Arginine methyltransferase 8 OS=Drosophila melanogaster GN=Art8 PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process	cytosol;nucleus	catalytic activity;protein binding	Pf01728, Pf02475, Pf03602, Pf05175, Pf05185, Pf06325, Pf08241, Pf08242, Pf12847, Pf13489, Pf13649, Pf13659, Pf13847	34528	FBgn0032329	Art8	2L	
Q8SX35	0.440644616631231	2.80321641571056	3.78284313427009	0.0310321642128939	0.000478205104103128	0.103903910364926	0.00383581652444984	YES	Egg_WT - Oocyte_WT	CG32850-PA OS=Drosophila melanogaster GN=CG32850 PE=1 SV=1	metabolic process		catalytic activity;metal ion binding;protein binding	Pf00097, Pf12678, Pf13639, Pf13923	318246	FBgn0052850	CG32850	4	
Q8SX57	0.00912783753290469	0.0986934975215527	0.0858847275862328	0.924596297850137	0.931960072815728	0.506234138972916	0.530721751700906	NO	Egg_WT - Oocyte_WT	CG31549, isoform A OS=Drosophila melanogaster GN=CG11005 PE=1 SV=1	metabolic process		catalytic activity	Pf00106, Pf08659, Pf13561	40689	FBgn0051549	CG31549	3R	
Q8SX60	0.196692187088553	2.21922526415425	1.8587992109362	0.0682706915473709	0.0699664634229831	0.140885734330734	0.125396837718082	NO	Egg_WT - Oocyte_WT	CG42678, isoform D OS=Drosophila melanogaster GN=Reep1 PE=1 SV=1	response to stimulus	endoplasmic reticulum;membrane		Pf03134	37643	FBgn0261564	CG42678; Reep1	2R	
Q8SX76	0.235176365846705	3.3909771481138	2.26627719051537	0.0146579677803835	0.0285673611174368	0.0764705051751406	0.0736640274509863	NO	Egg_WT - Oocyte_WT	LD24646p OS=Drosophila melanogaster GN=pch2 PE=1 SV=1	metabolic process;regulation of biological process;response to stimulus		catalytic activity;nucleotide binding;RNA binding	Pf00004, Pf00910, Pf02367, Pf05496, Pf06068, Pf13191, Pf13207, Pf13238, Pf13401, Pf13521, Pf13671	41013	FBgn0051453	pch2	3R	
Q8SX83	0.127280667082664	2.21197317697078	1.23873080199671	0.0689556896045415	0.222221184370408	0.141514624826733	0.244091453267401	NO	Egg_WT - Oocyte_WT	Protein split ends OS=Drosophila melanogaster GN=spen PE=1 SV=2	cellular component movement;defense response;development;metabolic process;regulation of biological process;response to stimulus	nucleus	protein binding;RNA binding	Pf00076, Pf07744, Pf13893, Pf14259	44205	FBgn0016977	spen	2L	
Q8SX89	0.242436722403244	3.69756156862756	2.34407957481183	0.0101175802399238	0.0238048675120351	0.0674659268343744	0.0654327206609416	NO	Egg_WT - Oocyte_WT	Kugelkern, isoform A OS=Drosophila melanogaster GN=kuk PE=1 SV=1	cell organization and biogenesis;response to stimulus	membrane			42063	FBgn0038476	kuk	3R	
Q8SXC2	0.094326506423716	1.0586427581768	0.890945467003043	0.330509027159137	0.377958261985423	0.289129026169606	0.328900337089234	NO	Egg_WT - Oocyte_WT	CG6950, isoform A OS=Drosophila melanogaster GN=CG6950-RC PE=1 SV=1	metabolic process		catalytic activity	Pf00155, Pf00266, Pf01053, Pf01212	41433	FBgn0037955	CG6950	3R	Metabolic pathways; Selenocompound metabolism; Tryptophan metabolism
Q8SXF0	0.0987392141074626	0.799694189292995	0.892589817368142	0.454374565326295	0.377086736358142	0.343745660307736	0.328404867291113	NO	Egg_WT - Oocyte_WT	Mitochondrial ribosomal protein S9 OS=Drosophila melanogaster GN=mRpS9 PE=1 SV=1	cell organization and biogenesis;metabolic process	mitochondrion;ribosome	RNA binding;structural molecule activity	Pf00380	40932	FBgn0037529	mRpS9	3R	Ribosome
Q8SXG7	0.112888863366932	1.42473556196772	1.07756587009241	0.204107699424962	0.287286153811223	0.225976150043858	0.282703957772572	NO	Egg_WT - Oocyte_WT	CG15440-PA OS=Drosophila melanogaster GN=CG15440 PE=1 SV=1			RNA binding	Pf00076, Pf14259	33652	FBgn0031607	CG15440	2L	
Q8SXI2	0.0128021657664803	0.135263478796728	0.120154794552291	0.896827309033738	0.904924901623523	0.499814870958145	0.523334461927472	NO	Egg_WT - Oocyte_WT	RE36623p OS=Drosophila melanogaster GN=Yeti PE=1 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process	chromosome;nucleus	protein binding	Pf07572	7354404	FBgn0267398	Yeti	2R	
Q8SXK0	-0.0277392656639783	-0.23586161551517	-0.252822389072366	0.821384866788675	0.801620342890899	0.480393962737506	0.495883756024203	NO	Egg_WT - Oocyte_WT	CG15390-PA OS=Drosophila melanogaster GN=CG15390 PE=2 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process		DNA binding;RNA binding		33422	FBgn0031419	CG15390	2L	
Q8SXK2	0.0352485875083346	0.418938662031076	0.334746339196286	0.689844591350716	0.739457574762545	0.432492553466815	0.474581685920885	NO	Egg_WT - Oocyte_WT	CG10092, isoform A OS=Drosophila melanogaster GN=CG10092 PE=1 SV=1	cell organization and biogenesis;metabolic process	mitochondrion	catalytic activity;nucleotide binding	Pf00750, Pf05746	40929	FBgn0037526	CG10092; ArgRS-m	3R	Aminoacyl-tRNA biosynthesis
Q8SXP8	-0.292596246482143	-1.58723794836849	-2.39917069839313	0.16355618928667	0.0208772020444741	0.204589311412975	0.0599500188666747	NO	Egg_WT - Oocyte_WT	GH09868p OS=Drosophila melanogaster GN=TBPH PE=1 SV=1	cell communication;cell organization and biogenesis;regulation of biological process;response to stimulus	nucleus	DNA binding;RNA binding	Pf00076, Pf13893, Pf14259	37781	FBgn0025790	TBPH	2R	
Q8SXQ5	0.254213553660476	1.21198611796179	1.99222674643494	0.27107489247894	0.0527739620223447	0.26108538044367	0.107113235694188	NO	Egg_WT - Oocyte_WT	CG14407 OS=Drosophila melanogaster GN=CG14407 PE=1 SV=1	cellular homeostasis;metabolic process;regulation of biological process		catalytic activity;metal ion binding	Pf00462	32410	FBgn0030584	CG14407	X	
Q8SXR7	0.180176905506331	1.70347210267508	1.66815901184347	0.139369951483745	0.102612506381692	0.191120233619632	0.158083372087544	NO	Egg_WT - Oocyte_WT	CG3394, isoform A OS=Drosophila melanogaster GN=CG3394 PE=1 SV=1	metabolic process;transport	membrane	catalytic activity	Pf00501, Pf13193	37887	FBgn0034999	CG3394	2R	
Q8SXS0	0.140200005499732	1.54515936546618	1.32180085355285	0.173261842287941	0.193282339809724	0.210934819403898	0.225281872695764	NO	Egg_WT - Oocyte_WT	CG7071, isoform A OS=Drosophila melanogaster GN=CG7071 PE=2 SV=1	cell organization and biogenesis	membrane		Pf11712	42617	FBgn0260467	CG7071	3R	
Q8SXU3	0.0107075135268602	0.161729750693588	0.103471793290703	0.876827401796705	0.918073668894082	0.494344686293879	0.527624555870891	NO	Egg_WT - Oocyte_WT	CG8207 OS=Drosophila melanogaster GN=CG8207 PE=1 SV=1	metabolic process		catalytic activity;protein binding	Pf00132, Pf00483, Pf12804	36730	FBgn0034035	CG8207	2R	Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Fructose and mannose metabolism
Q8SXX1	0.0323080036786063	0.672622201758491	0.316555295937056	0.52622920064391	0.753125647473474	0.373069125466237	0.47877751924181	NO	Egg_WT - Oocyte_WT	Phosphatidylinositol 5-phosphate 4-kinase, isoform A OS=Drosophila melanogaster GN=PIP4K PE=1 SV=1	metabolic process;regulation of biological process	membrane	catalytic activity;nucleotide binding	Pf01504	3885565	FBgn0039924	CG17471; PIP4K	4	Metabolic pathways; Inositol phosphate metabolism; Endocytosis; Phosphatidylinositol signaling system
Q8SXY6	-0.147630280454139	-2.17109371618822	-1.4243728794414	0.072951815498955	0.16161642074152	0.144186104965113	0.203898070625695	NO	Egg_WT - Oocyte_WT	Transmembrane emp24 domain-containing protein bai OS=Drosophila melanogaster GN=bai PE=2 SV=1	development;regulation of biological process;reproduction;transport	membrane	transporter activity	Pf01105	42996	FBgn0045866	bai	3R	
Q8SY19	0.25397697332123	3.43795983646845	2.43716084928848	0.0138354891604599	0.019051899821398	0.0755846139230076	0.0561170505341444	NO	Egg_WT - Oocyte_WT	CG1742-PA, isoform A OS=Drosophila melanogaster GN=Mgstl PE=1 SV=1		membrane	catalytic activity	Pf01124	44110	FBgn0025814	Mgstl	X	
Q8SY33	0.319130111404647	3.58189360373642	3.01431106836643	0.0116165954261687	0.00432449080633976	0.0728411704240961	0.0197488101481099	NO	Egg_WT - Oocyte_WT	Protein Gawky OS=Drosophila melanogaster GN=gw PE=1 SV=1	development;metabolic process;regulation of biological process;response to stimulus	cytoplasm	protein binding;RNA binding	Pf00627, Pf10427, Pf12938	43808	FBgn0051992	gw	4	
Q8SY53	0.0752494385964173	0.509942129185374	0.656059326664265	0.628301322677235	0.515310726047566	0.412002973582234	0.388541532911357	NO	Egg_WT - Oocyte_WT	CG7830-PA OS=Drosophila melanogaster GN=Ostgamma PE=1 SV=1	cellular component movement;metabolic process	membrane	catalytic activity	Pf04756	34137	FBgn0032015	CG7830; Ostgamma	2L	Protein processing in endoplasmic reticulum; Metabolic pathways; N-Glycan biosynthesis
Q8SY58	-0.210505871478504	-1.45279227465433	-1.84299180562006	0.196496681125022	0.0722889417666205	0.222173391498802	0.127238288572628	NO	Egg_WT - Oocyte_WT	CG4872-PA OS=Drosophila melanogaster GN=CG4872 PE=1 SV=1	metabolic process;regulation of biological process	cytoplasm	catalytic activity	Pf01408, Pf01488, Pf02423, Pf03446	32676	FBgn0030799	CG4872	X	
Q8SY61	0.464228486991017	4.30548667253909	4.28671973711492	0.00506232701169245	0.000101586904311309	0.0486903204968249	0.00112094527157879	YES	Egg_WT - Oocyte_WT	General odorant-binding protein 56d OS=Drosophila melanogaster GN=Obp56d PE=1 SV=2	response to stimulus;transport	extracellular		Pf01395	37266	FBgn0034470	Obp56d	2R	
Q8SY96	0.370977919434898	2.98234702898714	3.34920436731344	0.0245619715643382	0.00170343931340236	0.0951200653213457	0.00987434524360559	NO	Egg_WT - Oocyte_WT	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial OS=Drosophila melanogaster GN=CG32500 PE=2 SV=1	cell organization and biogenesis;metabolic process	mitochondrion	metal ion binding	Pf01106, Pf08712	318252; 2768879; 2768875	FBgn0052500; FBgn0053502; FBgn0052857	CG32857; CG32500; CG33502	X	
Q8SYD9	0.211825771932688	3.25777678863995	2.04906703591921	0.0172969095004138	0.04664112471577	0.0802247127132069	0.0989140669208881	NO	Egg_WT - Oocyte_WT	Endophilin B, isoform A OS=Drosophila melanogaster GN=EndoB PE=1 SV=1	cell organization and biogenesis;regulation of biological process	cytoplasm;membrane	catalytic activity;protein binding	Pf03114, Pf07653, Pf14604	37218	FBgn0034433	endoB	2R	
Q8SYG2	-0.000563384359402619	-0.00324344724782145	-0.00470511999995122	0.997517257964562	0.996267815662186	0.525324481237081	0.546523200720323	NO	Egg_WT - Oocyte_WT	COP9 signalosome complex subunit 3 OS=Drosophila melanogaster GN=CSN3 PE=2 SV=2	cell communication;cell differentiation;cell division;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	catalytic activity;protein binding	Pf01399	40308	FBgn0027055	CSN3	3L	
Q8SYG3	-0.0408494769601049	-0.421452473843977	-0.38235964819127	0.688106096928226	0.704093845765585	0.432492553466815	0.461645147014914	NO	Egg_WT - Oocyte_WT	CG40045, isoform A OS=Drosophila melanogaster GN=CG40045 PE=1 SV=1	metabolic process	cytoplasm	catalytic activity;nucleotide binding;protein binding	Pf00179	3355079	FBgn0058045	CG40045	3L	Ubiquitin mediated proteolysis; Protein processing in endoplasmic reticulum
Q8SYJ2	0.0346237896453534	0.478161557715253	0.332711562901704	0.649458712156642	0.740982297701788	0.419256966174118	0.474999281037241	NO	Egg_WT - Oocyte_WT	CG32230, isoform B OS=Drosophila melanogaster GN=ND-MLRQ PE=1 SV=1	metabolic process;transport	membrane	catalytic activity;transporter activity	Pf02558, Pf06522	317928	FBgn0052230	CG32230; ND-MLRQ	3L	Oxidative phosphorylation; Metabolic pathways
Q8SYJ9	0.0485656762717008	0.429095165345527	0.445306161633511	0.682833436127914	0.658351132672113	0.432090230286987	0.448340130395336	NO	Egg_WT - Oocyte_WT	CG33786 OS=Drosophila melanogaster GN=CG10438 PE=1 SV=1	metabolic process;regulation of biological process	cytoplasm	catalytic activity;RNA binding	Pf01300	3772640	FBgn0061361	CG33786	2R	
Q8SYL0	0.0381561502399865	0.450279185556772	0.362125522300319	0.668321568622597	0.719046813694262	0.426068133362271	0.465895473464947	NO	Egg_WT - Oocyte_WT	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Drosophila melanogaster GN=CG7718 PE=1 SV=1	metabolic process	mitochondrion	catalytic activity	Pf13091	42254	FBgn0038649	CG7718	3R	Glycerophospholipid metabolism; Metabolic pathways
Q8SYL1	0.205732500628663	2.97317779856232	1.98282390346522	0.0248550624341895	0.0538530812729861	0.0951854412071999	0.108392619260534	NO	Egg_WT - Oocyte_WT	Lethal (2) 09851, isoform A OS=Drosophila melanogaster GN=l(2)09851 PE=1 SV=1		nucleus	protein binding	Pf00400, Pf12265	46662	FBgn0022288	l(2)09851	2R	
Q8SYP9	0.273081834241712	2.11470562110088	2.44856666363991	0.0788582738781695	0.0185327901765669	0.148313091937967	0.0548980656707865	NO	Egg_WT - Oocyte_WT	Mitochondrial ribosomal protein S5, isoform A OS=Drosophila melanogaster GN=mRpS5 PE=1 SV=1	cell organization and biogenesis;metabolic process	ribosome	RNA binding;structural molecule activity	Pf00333, Pf03719	3355089	FBgn0044510	mRpS5	3L	
Q8SYQ8	-0.220783807583194	-2.99153773094261	-2.11878455467697	0.0242719501465391	0.0399743780528874	0.0949468354561782	0.0904214021216393	NO	Egg_WT - Oocyte_WT	CG3420, isoform A OS=Drosophila melanogaster GN=CG3420 PE=1 SV=1				Pf09360	35585	FBgn0033100	CG3420	2R	
Q8SYR5	0.324714202216615	3.42772364960905	3.04730074202743	0.014010256173037	0.00395371705267242	0.0758515744326469	0.0182472569694134	NO	Egg_WT - Oocyte_WT	CG31142 OS=Drosophila melanogaster GN=CG31142 PE=1 SV=1				Pf09811	251610	FBgn0047114	CG31142	3R	
Q8SYS7	0.256990860292893	2.01562988627162	2.30977895458773	0.0904463101695267	0.0258090172660959	0.155400977372459	0.0691356696183986	NO	Egg_WT - Oocyte_WT	Probable cytosolic Fe-S cluster assembly factor CG17683 OS=Drosophila melanogaster GN=CG17683 PE=2 SV=1	cell organization and biogenesis;metabolic process		catalytic activity;metal ion binding	Pf02256, Pf02906	3355011	FBgn0262115	CG17683	2R	
Q8SZ15	0.0804530629585116	0.633403408541258	0.723599558760596	0.549836364438836	0.473262777767032	0.382711902926519	0.370992720614189	NO	Egg_WT - Oocyte_WT	CG10914 OS=Drosophila melanogaster GN=CG10914 PE=1 SV=1		mitochondrion	catalytic activity;nucleotide binding	Pf00009, Pf01926, Pf02421, Pf03193	37075	FBgn0034307	CG10914	2R	
Q8SZ16	0.211611157107985	2.11046524503214	1.97272693410005	0.0793217856057092	0.0550330452487357	0.148480624608305	0.109953120467301	NO	Egg_WT - Oocyte_WT	Succinate dehydrogenase assembly factor 3, mitochondrial OS=Drosophila melanogaster GN=Sdhaf3 PE=2 SV=1	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	mitochondrion;organelle lumen		Pf05347, Pf13232, Pf13233	42004	FBgn0038437	CG14898; Sdhaf3	3R	
Q8SZ63	0.252220760537814	1.88399207060997	2.24573340449922	0.108552555423805	0.029959141893297	0.168324434032621	0.0756907405449987	NO	Egg_WT - Oocyte_WT	Golgin-84 OS=Drosophila melanogaster GN=Golgin84 PE=1 SV=2	cell organization and biogenesis;transport	Golgi;membrane	protein binding	Pf09787	42905	FBgn0039188	Golgin84	3R	
Q8SZ87	0.0976265518277604	1.42723617018255	0.941584629643346	0.203418497982215	0.351709521461333	0.22594113858087	0.317594267088662	NO	Egg_WT - Oocyte_WT	CG3058-PA OS=Drosophila melanogaster GN=Dim1 PE=1 SV=1	cell organization and biogenesis;metabolic process	spliceosomal complex		Pf02966	33645	FBgn0031601	Dim1	2L	Spliceosome
Q8SZA8	0.094645002753289	1.04920962004163	0.892844436753553	0.334493819555956	0.376951899809427	0.291375784071434	0.328404867291113	NO	Egg_WT - Oocyte_WT	CG1319 OS=Drosophila melanogaster GN=Fdx2 PE=1 SV=1	metabolic process;regulation of biological process	organelle lumen			38530	FBgn0035529	CG1319; Fdx2	3L	
